# ─────────────────────────────────────────────────────────────────────────────
# CASTLESEC — TSV NODE MAP v3 (Updated to match FULL ASCII MAP v3 + physical F4)
# Copy into Notepad. Tabs between columns.
# Columns:
# Phase | NodeID | Name | Type | Actions | Tools/Findings on ground | Task | Artifacts used here | Requires/Gates | Links
# Type: HUB|PATH|SAFE|DE|CONTROL|GATE|TASK|EVENT|PANEL|SERVER|R
# Actions (examples): NAV,LOOK,PICK,TASK(flag),PRESENT(item),SCANPATH,PASSIVE,PANEL,REPEAT,HISTORY,TERMINAL
# Tools (9): DevTools Lens, Scope Compass, Spider Thread, Passive Scanner Lantern,
#           Intercept Gauntlet, Repeater Sigil, History Scroll, File Lantern, Process Watch
# ─────────────────────────────────────────────────────────────────────────────
Phase	NodeID	Name	Type	Actions	Tools/Findings on ground	Task	Artifacts used here	Requires/Gates	Links
# ───────────────────────────── F1 — CLIENT VALLEY (City) ─────────────────────
F1	F1-01	Gate Plaza / Брама (Spawn)	HUB	NAV,LOOK,PICK	Tool: DevTools Lens	—	—	Start	(F1-02,F1-04,F1-08,F1-25,F1-30)
F1	F1-02	Old Alley / Старий провулок	DE	NAV,LOOK,PICK	Tool: Scope Compass	—	—	—	(F1-01)
F1	F1-04	Notice Square / Площа оголошень	HUB	NAV,LOOK	—	—	—	(F1-01,F1-05,F1-06,F1-26,F1-28,F1-25)
F1	F1-05	Notice Board / Дошка оголошень	TASK	NAV,LOOK,TASK(flag)	—	T1 Source Code Review (Flag)	—	Optional	(F1-04)
F1	F1-06	Old Well / Старий колодязь	SAFE	NAV,LOOK	—	—	—	—	(F1-04,F1-07)
F1	F1-07	Rooftop View / Оглядовий дах	DE	NAV,LOOK	—	—	—	—	(F1-06)
F1	F1-08	Market Entrance / Вхід на ринок	HUB	NAV,LOOK	—	—	—	—	(F1-01,F1-09,F1-27,F1-29)
F1	F1-09	Market Hub / Ринок (Хаб)	HUB	NAV,LOOK,PICK,SCANPATH	Tool: Spider Thread	—	—	—	(F1-08,F1-10,F1-11,F1-12,F1-13)
F1	F1-10	Stalls / Лавки	DE	NAV,LOOK	—	—	—	—	(F1-09)
F1	F1-11	Mirror Workshop / Майстерня дзеркал	TASK	NAV,LOOK,TASK(flag)	—	T3 Reflected XSS (Flag)	—	Optional	(F1-09)
F1	F1-12	Tea Corner / Тихий чай	SAFE	NAV,LOOK	—	—	—	—	(F1-09)
F1	F1-13	Camera Alley / Провулок камер	EVENT	NAV,LOOK	—	—	—	Optional risk loop	(F1-09,F1-14)
